from_slug,to_slug,type,label,explanation,confidence,strength,directed,evidence_urls,last_checked,source,reviewer_note
0x,1inch,partner_named,Day-1 / launch partner,1inch is named as a day-1 or launch partner in narratives around 0x. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://0x.org/|0x,2026-07-16,csv_manual,
0x,morpho,partner_named,Day-1 / launch partner,Morpho is named as a day-1 or launch partner in narratives around 0x. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://0x.org/|0x,2026-07-16,csv_manual,
0x,uniswap,partner_named,Day-1 / launch partner,Uniswap is named as a day-1 or launch partner in narratives around 0x. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://0x.org/|0x,2026-07-16,csv_manual,
1inch,0x,partner_named,Day-1 / launch partner,0x is named as a day-1 or launch partner in narratives around 1inch. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://1inch.io/|1inch,2026-07-16,csv_manual,
1inch,robinhood-wallet,partner_named,Day-1 / launch partner,Robinhood Wallet is named as a day-1 or launch partner in narratives around 1inch. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://1inch.io/|1inch,2026-07-16,csv_manual,
1inch,uniswap,partner_named,Day-1 / launch partner,Uniswap is named as a day-1 or launch partner in narratives around 1inch. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://1inch.io/|1inch,2026-07-16,csv_manual,
4-fun,curve,ecosystem_directory,Ecosystem map adjacency (text),4.fun and Curve are mapped together in the RH Chain landscape as related venues or rails. Verify primary sources before interacting. Curve appears in 4.fun about/summary copy.,medium,moderate,true,https://4.fun/|Primary,2026-07-16,text_mining,auto from about/summary
4-fun,flap,competitive,Same job — competing rails,4.fun and Flap compete for the same attention job (e.g. launchpad deploy volume). Competitive ranking ≠ quality or safety.,medium,moderate,true,https://4.fun/|Primary,2026-07-16,csv_manual,
4-fun,lighter,ecosystem_directory,Ecosystem map adjacency (text),4.fun and Lighter are mapped together in the RH Chain landscape as related venues or rails. Verify primary sources before interacting. Lighter appears in 4.fun about/summary copy.,medium,moderate,true,https://4.fun/|Primary,2026-07-16,text_mining,auto from about/summary
4-fun,noxa-fun,competitive,Same job — competing rails,4.fun and NOXA Fun compete for the same attention job (e.g. launchpad deploy volume). Competitive ranking ≠ quality or safety.,high,strong,true,https://4.fun/|Primary,2026-07-16,csv_manual,
